exploratory	EP_PlotID	plant_genus	plant_species	inflorescences_qcm	survey	date
Alb	AEG11	Crepis	Crepis biennis	85	1	7/27/2009 12:00:00 AM
Alb	AEG11	Crepis	Crepis biennis	70	2	7/30/2009 12:00:00 AM
Alb	AEG11	Crepis	Crepis biennis	80	3	8/5/2009 12:00:00 AM
Alb	AEG11	Crepis	Crepis biennis	85	4	8/8/2009 12:00:00 AM
Alb	AEG11	Galium	Galium mollugo agg.	330	1	7/27/2009 12:00:00 AM
Alb	AEG11	Galium	Galium mollugo agg.	420	2	7/30/2009 12:00:00 AM
Alb	AEG11	Galium	Galium mollugo agg.	190	3	8/5/2009 12:00:00 AM
Alb	AEG11	Galium	Galium mollugo agg.	310	4	8/8/2009 12:00:00 AM
Alb	AEG11	Geranium	Geranium pyrenaicum	3	2	7/30/2009 12:00:00 AM
Alb	AEG11	Geranium	Geranium pyrenaicum	5	3	8/5/2009 12:00:00 AM
Alb	AEG11	Heracleum	Heracleum sphondylium	10	1	7/27/2009 12:00:00 AM
Alb	AEG11	Plantago	Plantago major	295	1	7/27/2009 12:00:00 AM
Alb	AEG11	Plantago	Plantago major	245	2	7/30/2009 12:00:00 AM
Alb	AEG11	Plantago	Plantago major	135	3	8/5/2009 12:00:00 AM
Alb	AEG11	Plantago	Plantago major	220	4	8/8/2009 12:00:00 AM
Alb	AEG11	Plantago	Plantago media	300	1	7/27/2009 12:00:00 AM
Alb	AEG11	Ranunculus	Ranunculus nemorosus	90	1	7/27/2009 12:00:00 AM
Alb	AEG11	Ranunculus	Ranunculus nemorosus	90	2	7/30/2009 12:00:00 AM
Alb	AEG11	Ranunculus	Ranunculus nemorosus	75	3	8/5/2009 12:00:00 AM
Alb	AEG11	Ranunculus	Ranunculus nemorosus	50	4	8/8/2009 12:00:00 AM
Alb	AEG11	Trifolium	Trifolium pratense	430	1	7/27/2009 12:00:00 AM
Alb	AEG11	Trifolium	Trifolium pratense	295	2	7/30/2009 12:00:00 AM
Alb	AEG11	Trifolium	Trifolium pratense	325	3	8/5/2009 12:00:00 AM
Alb	AEG11	Trifolium	Trifolium pratense	345	4	8/8/2009 12:00:00 AM
Alb	AEG11	Trifolium	Trifolium repens	100	1	7/27/2009 12:00:00 AM
Alb	AEG11	Trifolium	Trifolium repens	110	2	7/30/2009 12:00:00 AM
Alb	AEG11	Trifolium	Trifolium repens	140	3	8/5/2009 12:00:00 AM
Alb	AEG11	Trifolium	Trifolium repens	65	4	8/8/2009 12:00:00 AM
Alb	AEG11	Vicia	Vicia sativa	50	1	7/27/2009 12:00:00 AM
Alb	AEG11	Vicia	Vicia sativa	40	2	7/30/2009 12:00:00 AM
Alb	AEG11	Vicia	Vicia sativa	60	3	8/5/2009 12:00:00 AM
Alb	AEG11	Vicia	Vicia sativa	40	4	8/8/2009 12:00:00 AM
Alb	AEG14	Achillea	Achillea millefolium agg.	70	1	7/24/2009 12:00:00 AM
Alb	AEG14	Achillea	Achillea millefolium agg.	310	2	7/29/2009 12:00:00 AM
Alb	AEG14	Achillea	Achillea millefolium agg.	40	3	8/6/2009 12:00:00 AM
Alb	AEG14	Achillea	Achillea millefolium agg.	40	4	8/12/2009 12:00:00 AM
Alb	AEG14	Bellis	Bellis perennis	5	3	8/6/2009 12:00:00 AM
Alb	AEG14	Campanula	Campanula rotundifolia	25	2	7/29/2009 12:00:00 AM
Alb	AEG14	Campanula	Campanula rotundifolia	30	3	8/6/2009 12:00:00 AM
Alb	AEG14	Campanula	Campanula rotundifolia	10	4	8/12/2009 12:00:00 AM
Alb	AEG14	Galium	Galium mollugo agg.	290	1	7/24/2009 12:00:00 AM
Alb	AEG14	Galium	Galium mollugo agg.	630	2	7/29/2009 12:00:00 AM
Alb	AEG14	Galium	Galium mollugo agg.	350	3	8/6/2009 12:00:00 AM
Alb	AEG14	Galium	Galium mollugo agg.	160	4	8/12/2009 12:00:00 AM
Alb	AEG14	Heracleum	Heracleum sphondylium	870	1	7/24/2009 12:00:00 AM
Alb	AEG14	Heracleum	Heracleum sphondylium	700	2	7/29/2009 12:00:00 AM
