PlotId	heteroptera_simpson	heteroptera_richness	coleoptera_simpson	coleoptera_richness
AEG1	0.471655328798186	6	1	0
AEG2	0.627218934911243	4	1	0
AEG3	0.357142857142857	3	1	0
AEG4	0.184518777925371	6	1	0
AEG5	0.468571428571429	6	1	0
AEG6	0.277008310249308	3	1	0
AEG7	0.733727810650888	7	1	0
AEG8	0.78	7	1	0
AEG9	0.829931972789116	9	1	0
AEG10	0.22974537037037	6	0.8	5
AEG11	0.444444444444444	2	0.859504132231405	12
AEG12	0.541666666666667	3	0.776406035665295	9
AEG13	0.615916955017301	4	0.888888888888889	11
AEG18	0.56	3	0.671071531169204	16
AEG19	0.528925619834711	3	0.713333333333333	11
AEG20	0.8046875	8	0.82716049382716	10
AEG21	0.21875	2	0.680121527777778	17
AEG22	0	1	0.75	4
AEG25	0.66009204470743	8	0.8046875	9
AEG26	1	0	0.793388429752066	6
AEG27	0.611111111111111	5	0.84297520661157	8
AEG32	0.828125	8	0.775510204081633	11
AEG33	0.816568047337278	6	0.810252758988964	15
AEG34	0.7578125	6	0.856099342585829	12
AEG36	0.625	3	0.520493827160494	6
AEG37	0.446666666666667	6	0.881656804733728	14
AEG38	0.68	5	0.568359375	14
AEG39	0.73469387755102	5	0.914951989026063	23
AEG41	0.24	3	0.53125	3
AEG42	0.506111362607515	6	0.838842975206612	11
AEG46	0.716796875	10	0.85498620989984	17
AEG47	0.82	7	0.755102040816326	12
AEG48	0.826530612244898	8	0.858725761772853	13
HEG1	0.666666666666667	3	1	0
HEG2	0.804733727810651	6	1	0
HEG3	0	1	1	0
HEG4	0	1	1	0
HEG5	0.444444444444444	2	1	0
HEG6	0.75	5	1	0
HEG7	0.790123456790123	6	1	0
HEG8	0.461538461538462	3	1	0
HEG9	0	1	1	0
HEG11	0	1	0.540466392318244	9
HEG17	0.793388429752066	6	0.702296190815237	19
HEG19	0.611111111111111	3	0.716550017210576	19
HEG21	0.791666666666667	7	0.732195646331631	17
HEG24	0.480109739368999	5	0.719049648412529	30
HEG26	0.375	2	0.733459357277883	6
HEG27	0.863905325443787	9	0.577442299317753	14
HEG29	0.504725897920605	8	0.212457892986743	17
HEG30	0.830449826989619	10	0.776813271604938	20
HEG33	0.448979591836735	3	0.860574216550948	22
HEG34	0.68	5	0.815065859736561	25
HEG36	0.740740740740741	6	0.667831840454418	16
HEG37	0.826666666666667	11	0.701851690103939	24
HEG38	0.666666666666667	4	0.826222684703434	12
HEG39	0.518518518518519	4	0.458084178851125	15
HEG40	0.666666666666667	3	0.85930309007232	17
HEG43	0.763888888888889	5	0.785246876859013	13
HEG46	0.449464922711058	4	0.793575252825699	11
HEG47	0.5	2	0.75	8
HEG49	0.5	2	0.79757785467128	9
SEG1	0.776859504132231	6	1	0
SEG2	0.664359861591695	6	1	0
SEG3	0.8125	6	1	0
SEG4	0.673553719008264	5	1	0
SEG5	0.806122448979592	8	1	0
SEG6	0.604938271604938	8	1	0
SEG7	0.722222222222222	4	1	0
SEG8	0.82	7	1	0
SEG9	0.67590027700831	7	1	0
SEG10	0.59375	3	0.892857142857143	17
SEG11	0.828402366863905	8	0.826530612244898	20
SEG12	0.857142857142857	8	0.891295293627655	23
SEG14	0.579881656804734	5	0.887573964497041	15
SEG16	0.820987654320988	7	0.904280618311534	22
SEG23	0.714416896235078	9	0.84297520661157	13
SEG24	0.69	6	0.858415582146912	23
SEG25	0.8046875	8	0.929307591813035	30
SEG28	0.823529411764706	8	0.826322365680966	15
SEG29	0.494933333333333	4	0.923076923076923	17
SEG30	0.733727810650888	7	0.938775510204082	26
SEG31	0.793333333333333	9	0.86633135192806	28
SEG32	0.553469387755102	10	0.859375	29
SEG33	0.75	7	0.895747599451303	19
SEG34	0.680384087791495	8	0.879871002418705	18
SEG35	0.797783933518006	8	0.898540405838377	19
SEG36	0.703397612488522	9	0.876944444444444	29
SEG37	0.85	9	0.906496	25
SEG40	0.88	13	0.925217145681802	32
SEG41	0.820415879017013	12	0.884639835688787	21
SEG44	0.82	11	0.932183224271267	25
SEG45	0.854115256205545	13	0.905945811891624	31
SEG46	0.816326530612245	7	0.86878892733564	23
SEG47	0.587374249609386	13	0.769525956339143	21
SEG48	0.810939357907253	14	0.904223676383105	22
SEG49	0.723587915181085	13	0.857959183673469	21
