record_no	exploratory	EP_PlotID	plant_genus	plant_species	no_inflorescences	inflorescences_qcm	sub_plot	survey	date	last_mowing
1	SchwaebischeAlb	AEG1	Geranium		2	2	succession	1	7/6/2008 12:00:00 AM	
2	SchwaebischeAlb	AEG1	Crepis	Crepis biennis	4	8	managed	1	7/6/2008 12:00:00 AM	
3	SchwaebischeAlb	AEG1	Crepis	Crepis biennis	10	20	succession	1	7/6/2008 12:00:00 AM	
4	SchwaebischeAlb	AEG1	Galium	Galium mollugo agg.	200	22	managed	1	7/6/2008 12:00:00 AM	
5	SchwaebischeAlb	AEG1	Galium	Galium mollugo agg.	70	8	succession	1	7/6/2008 12:00:00 AM	
6	SchwaebischeAlb	AEG1	Silene	Silene dioica	3	5	managed	1	7/6/2008 12:00:00 AM	
7	SchwaebischeAlb	AEG1	Trifolium	Trifolium pratense	1	2	realistic	1	7/6/2008 12:00:00 AM	
8	SchwaebischeAlb	AEG1	Vicia	Vicia sepium	3	3	managed	1	7/6/2008 12:00:00 AM	
9	SchwaebischeAlb	AEG1	Galium	Galium mollugo agg.	3000	333	managed	2	8/14/2008 12:00:00 AM	7/7/2008
10	SchwaebischeAlb	AEG1	Galium	Galium mollugo agg.	2700	300	realistic	2	8/14/2008 12:00:00 AM	
11	SchwaebischeAlb	AEG1	Galium	Galium mollugo agg.	300	33	succession	2	8/14/2008 12:00:00 AM	
12	SchwaebischeAlb	AEG1	Plantago	Plantago lanceolata	3	6	managed	2	8/14/2008 12:00:00 AM	7/7/2008
13	SchwaebischeAlb	AEG1	Ranunculus	Ranunculus acris	4	4	realistic	2	8/14/2008 12:00:00 AM	
14	SchwaebischeAlb	AEG1	Trifolium	Trifolium pratense	32	64	managed	2	8/14/2008 12:00:00 AM	7/7/2008
15	SchwaebischeAlb	AEG1	Trifolium	Trifolium pratense	16	32	realistic	2	8/14/2008 12:00:00 AM	
16	SchwaebischeAlb	AEG1	Vicia	Vicia sepium	5	5	realistic	2	8/14/2008 12:00:00 AM	
17	SchwaebischeAlb	AEG1	Vicia	Vicia sepium	6	6	succession	2	8/14/2008 12:00:00 AM	
18	SchwaebischeAlb	AEG1	Galium	Galium mollugo agg.	110	12	succession	3	9/11/2008 12:00:00 AM	
19	SchwaebischeAlb	AEG1	Trifolium	Trifolium pratense	34	68	managed	3	9/11/2008 12:00:00 AM	8/18/2008
20	SchwaebischeAlb	AEG1	Trifolium	Trifolium pratense	2	4	realistic	3	9/11/2008 12:00:00 AM	
21	SchwaebischeAlb	AEG1	Trifolium	Trifolium pratense	2	4	succession	3	9/11/2008 12:00:00 AM	
22	SchwaebischeAlb	AEG10	Bellis	Bellis perennis	35	35	realistic	1	7/5/2008 12:00:00 AM	
23	SchwaebischeAlb	AEG10	Campanula	Campanula patula	1	2	succession	1	7/5/2008 12:00:00 AM	
24	SchwaebischeAlb	AEG10	Galium	Galium mollugo agg.	20	2	managed	1	7/5/2008 12:00:00 AM	
25	SchwaebischeAlb	AEG10	Galium	Galium mollugo agg.	20	2	realistic	1	7/5/2008 12:00:00 AM	
26	SchwaebischeAlb	AEG10	Galium	Galium mollugo agg.	65	7	succession	1	7/5/2008 12:00:00 AM	
27	SchwaebischeAlb	AEG10	Knautia	Knautia arvensis	3	12	managed	1	7/5/2008 12:00:00 AM	
28	SchwaebischeAlb	AEG10	Ranunculus	Ranunculus acris	4	4	managed	1	7/5/2008 12:00:00 AM	
29	SchwaebischeAlb	AEG10	Tragopogon	Tragopogon pratensis	2	4	succession	1	7/5/2008 12:00:00 AM	
30	SchwaebischeAlb	AEG10	Trifolium	Trifolium pratense	2	4	managed	1	7/5/2008 12:00:00 AM	
31	SchwaebischeAlb	AEG10	Trifolium	Trifolium pratense	77	154	realistic	1	7/5/2008 12:00:00 AM	
32	SchwaebischeAlb	AEG10	Trifolium	Trifolium pratense	1	2	succession	1	7/5/2008 12:00:00 AM	
33	SchwaebischeAlb	AEG10	Trifolium	Trifolium repens	4	8	managed	1	7/5/2008 12:00:00 AM	
34	SchwaebischeAlb	AEG10	Trifolium	Trifolium repens	60	120	realistic	1	7/5/2008 12:00:00 AM	
35	SchwaebischeAlb	AEG10			0	0	realistic	3	9/11/2008 12:00:00 AM	
36	SchwaebischeAlb	AEG10	Cerastium	Cerastium holosteoides	3	1	succession	3	9/11/2008 12:00:00 AM	
37	SchwaebischeAlb	AEG10	Galium	Galium mollugo agg.	1100	122	succession	3	9/11/2008 12:00:00 AM	
38	SchwaebischeAlb	AEG10	Ranunculus	Ranunculus acris	5	5	managed	3	9/11/2008 12:00:00 AM	8/19/2008
39	SchwaebischeAlb	AEG10	Trifolium	Trifolium pratense	14	28	managed	3	9/11/2008 12:00:00 AM	8/19/2008
40	SchwaebischeAlb	AEG11			0	0	realistic	1	7/4/2008 12:00:00 AM	
41	SchwaebischeAlb	AEG11	Cerastium	Cerastium holosteoides	5	1	succession	1	7/4/2008 12:00:00 AM	
42	SchwaebischeAlb	AEG11	Galium	Galium mollugo agg.	56	6	managed	1	7/4/2008 12:00:00 AM	
43	SchwaebischeAlb	AEG11	Galium	Galium mollugo agg.	70	8	succession	1	7/4/2008 12:00:00 AM	
44	SchwaebischeAlb	AEG11	Vicia	Vicia sepium	7	7	succession	1	7/4/2008 12:00:00 AM	
45	SchwaebischeAlb	AEG11	Ononis		3	6	succession	2	8/16/2008 12:00:00 AM	
46	SchwaebischeAlb	AEG11	Galium	Galium mollugo agg.	300	33	managed	2	8/16/2008 12:00:00 AM	7/5/2008
47	SchwaebischeAlb	AEG11	Galium	Galium mollugo agg.	50	6	realistic	2	8/16/2008 12:00:00 AM	
48	SchwaebischeAlb	AEG11	Galium	Galium mollugo agg.	60	7	succession	2	8/16/2008 12:00:00 AM	
49	SchwaebischeAlb	AEG11	Plantago	Plantago lanceolata	20	40	managed	2	8/16/2008 12:00:00 AM	7/5/2008
50	SchwaebischeAlb	AEG11	Plantago	Plantago lanceolata	45	90	realistic	2	8/16/2008 12:00:00 AM	
51	SchwaebischeAlb	AEG11	Colchicum	Colchicum autumnale	5	20	managed	3	9/10/2008 12:00:00 AM	8/18/2008
52	SchwaebischeAlb	AEG11	Colchicum	Colchicum autumnale	9	36	realistic	3	9/10/2008 12:00:00 AM	
53	SchwaebischeAlb	AEG11	Galium	Galium mollugo agg.	50	6	succession	3	9/10/2008 12:00:00 AM	
54	SchwaebischeAlb	AEG11	Plantago	Plantago lanceolata	24	48	managed	3	9/10/2008 12:00:00 AM	8/18/2008
55	SchwaebischeAlb	AEG11	Plantago	Plantago lanceolata	1	2	realistic	3	9/10/2008 12:00:00 AM	
56	SchwaebischeAlb	AEG12	Galium	Galium mollugo agg.	30	3	managed	1	7/6/2008 12:00:00 AM	
57	SchwaebischeAlb	AEG12	Galium	Galium mollugo agg.	250	28	succession	1	7/6/2008 12:00:00 AM	
58	SchwaebischeAlb	AEG12	Ranunculus	Ranunculus acris	4	4	managed	1	7/6/2008 12:00:00 AM	
59	SchwaebischeAlb	AEG12	Ranunculus	Ranunculus acris	6	6	succession	1	7/6/2008 12:00:00 AM	
60	SchwaebischeAlb	AEG12	Trifolium	Trifolium pratense	21	42	managed	1	7/6/2008 12:00:00 AM	
61	SchwaebischeAlb	AEG12	Trifolium	Trifolium pratense	5	10	realistic	1	7/6/2008 12:00:00 AM	
62	SchwaebischeAlb	AEG12	Trifolium	Trifolium pratense	4	8	succession	1	7/6/2008 12:00:00 AM	
63	SchwaebischeAlb	AEG12	Trifolium	Trifolium repens	18	36	managed	1	7/6/2008 12:00:00 AM	
64	SchwaebischeAlb	AEG12	Trifolium	Trifolium repens	9	18	realistic	1	7/6/2008 12:00:00 AM	
65	SchwaebischeAlb	AEG12	Trifolium	Trifolium repens	25	50	succession	1	7/6/2008 12:00:00 AM	
