"plot";"year";"grazing";"mowing";"fertilization";"temp";"precipitation"
1;"2013";554;0;11;13,9;791,27
1;"2014";92;2;11;14,2;912,208
2;"2013";30;2;4;13,6;657,274
2;"2014";1;5;11;14,5;807,925
3;"2013";172;1;2;14,5;783,484
3;"2014";17;1;3;13,5;756,91
4;"2013";11;1;22;13,6;813,762
4;"2014";480;0;3;13,6;767,292
5;"2013";1;4;1;14,9;736,721
5;"2014";23;1;3;13,8;752,969
6;"2013";23;2;6;15;NA
6;"2014";553;0;6;13,8;NA
7;"2013";63;3;71;12,4;747,638
7;"2014";168;0;9;12,4;817,431
8;"2013";4;3;9;11,1;769,011
8;"2014";3;2;9;12,2;749,718
9;"2013";35;1;7;12,2;735,874
9;"2014";566;0;2;12,5;845,015
10;"2013";415;0;16;11,7;847,216
10;"2014";175;0;4;12,2;693,234
11;"2013";135;0;10;11,7;766,92
11;"2014";12;2;11;11,4;767,483
12;"2013";365;0;7;11,6;755,515
12;"2014";189;0;118;12,2;732,554
