"ID","plot","fenced","shannon","notes"
1,1,"yes",2.879,""
2,1,"yes",2.665,""
3,1,"no",1.179,""
4,1,"no",1.048,""
5,2,"yes",2.998,""
6,2,"yes",2.547,""
7,2,"no",1.676,""
8,2,"no",1.616,""
9,3,"yes",2.449,""
10,3,"yes",2.816,""
11,3,"no",1.417,""
12,3,"no",1.508,""
13,4,"yes",2.664,""
14,4,"yes",2.45,"fence was trampled"
15,4,"no",1.33,""
16,4,"no",1.199,""
17,5,"yes",3.258,""
18,5,"yes",2.807,""
19,5,"no",2.179,""
20,5,"no",2.119,""
21,6,"yes",2.281,""
22,6,"yes",2.648,""
23,6,"No",1.432,""
24,6,"no",1.523,""
25,7,"yes",2.756,""
26,7,"yes",2.542,""
27,7,"no",1.277,""
28,7,"no",1.146,""
29,8,"yes",3.11,""
30,8,"yes",2.659,""
31,8,"no",1.942,""
32,8,"no",1.882,""
33,9,"yes",2.211,""
34,9,"yes",2.578,""
35,9,"no",1.327,""
36,9,"no",1.418,""
37,10,"yes",2.855,""
38,10,"yes",2.641,""
39,10,"no",1.187,""
40,10,"no",1.056,""
41,11,"yes",2.798,""
42,11,"yes",2.347,"catch samples were lost"
43,11,"no",1.339,""
44,11,"no",1.279,""
45,12,"yes",2.252,"fence was trampled"
46,12,"yes",2.619,""
47,12,"no",1.142,""
48,12,"no",1.232,""
