"ID","plot","fenced","n_species","shannon","notes"
1,1,"yes",75,2.731,""
2,1,"yes",90,2.597,""
3,1,"no",93,1.943,""
4,1,"no",73,1.881,""
5,2,"yes",76,2.756,""
6,2,"yes",66,2.918,""
7,2,"no",76,2.436,""
8,2,"no",62,2.364,""
9,3,"yes",85,2.467,""
10,3,"yes",70,2.399,""
11,3,"no",75,1.526,""
12,3,"no",64,1.593,""
13,4,"yes",74,2.393,""
14,4,"yes",89,2.258,""
15,4,"no",88,1.436,""
16,4,"no",69,1.373,""
17,5,"yes",72,2.159,""
18,5,"yes",62,2.321,""
19,5,"no",68,1.618,""
20,5,"no",54,1.546,""
21,6,"yes",89,2.61,""
22,6,"yes",74,2.543,""
23,6,"no",73,1.338,""
24,6,"no",62,1.405,""
25,7,"yes",72,2.292,"rabbit calamity"
26,7,"yes",87,2.157,"rabbit calamity"
27,7,"no",88,1.446,""
28,7,"no",69,1.383,""
29,8,"yes",71,2.161,""
30,8,"yes",61,2.323,""
31,8,"no",70,1.771,""
32,8,"no",56,1.699,""
33,9,"yes",89,2.685,""
34,9,"yes",74,2.618,""
35,9,"no",73,1.411,""
36,9,"no",62,1.477,""
37,10,"yes",72,2.196,""
38,10,"yes",87,2.062,""
39,10,"no",88,1.346,""
40,10,"no",69,1.283,""
41,11,"yes",73,2.26,""
42,11,"yes",63,2.422,""
43,11,"no",70,1.771,""
44,11,"no",56,1.699,""
45,12,"yes",86,1.541,""
46,12,"yes",71,1.474,""
47,12,"no",72,0.384,""
48,12,"no",61,0.45,""
